,OFTIC,CNAME_actual,PENDS,PDICITY,AMASKCD,MEAN,STDEV,BPS,CPS,CPX,DPS,EBI,EBT,EPS,GPS,GRM,NAV,NDT,NET,PRE,ROE,SAL
0,AAL,AMERICAN AIRLINE,2015-03-31,QTR,40814,52.70588235294117,5.860510919305082,3.9838,3.48,1409.0,0.1,1526.0,1862.0,1.73,1.3,54.61,2764.0,9749.0,1243.0,1245.0,115.90999999999995,9827.0
1,AAL,AMERICAN AIRLINE,2015-06-30,QTR,107625,71.69354838709677,8.192148089639288,5.3605,3.32,1730.0,0.1,2075.0,2415.0,2.62,2.41,47.4,3636.0,9875.0,1854.0,1862.0,110.47999999999998,10827.0
2,AAL,AMERICAN AIRLINE,2015-09-30,QTR,40814,62.10869565217392,9.945255289171737,5.5463,-1.9599999999999995,1482.0,0.1,2164.0,2500.0,2.77,2.49,40.19,3762.0,11865.0,1885.0,1895.0,105.04999999999998,10706.0
3,AAL,AMERICAN AIRLINE,2015-12-31,QTR,122821,53.8421052631579,8.46077982940328,9.0214,0.3500000000000001,1530.0,0.1,1518.0,1870.0,2.0,5.09,38.52666666666666,5635.0,14307.0,1286.0,1286.0,99.62,9630.0
4,AAL,AMERICAN AIRLINE,2016-03-31,QTR,110436,48.54166666666666,12.140407437710778,8.0422,4.28,1557.0,0.1,1439.0,1794.0,1.99,1.1399999999999997,36.86333333333334,4710.0,14814.0,1218.0,1221.0,94.19,9435.0
5,AAL,AMERICAN AIRLINE,2016-06-30,QTR,5496,52.80555555555556,6.041861051639658,8.0277,3.91,1506.0,0.1,1816.0,2190.0,1.77,1.68,35.2,4312.0,15728.0,1001.0,1594.0,88.76,10363.0
6,AAL,AMERICAN AIRLINE,2016-09-30,QTR,40814,45.36363636363637,6.020168124099547,8.4579,2.01,1208.0,0.1,1725.0,2124.0,1.76,1.4,34.43,4391.0,16588.0,933.0,1483.0,85.76,10594.0
7,AAL,AMERICAN AIRLINE,2016-12-31,QTR,131836,40.38636363636363,5.838973772728792,7.4611,1.21,1460.0,0.1,1028.0,1720.0,0.92,0.56,29.58,3785.0,17985.0,475.0,773.0,46.48,9789.0
8,AAL,AMERICAN AIRLINE,2017-03-31,QTR,143401,56.0,6.357410374253551,6.97,4.43,1714.0,0.1,722.0,1422.0,0.61,0.46,26.98,3457.0,17867.0,308.0,491.0,34.02,9624.0
9,AAL,AMERICAN AIRLINE,2017-06-30,QTR,148680,55.26315789473684,11.980735023190624,7.5975,3.42,1480.0,0.1,1738.0,2450.0,1.92,1.63,33.6,3715.0,17973.0,944.0,1496.0,105.3,11105.0
